timestamp,attention,meditation,state
1703119422.4412324,23,47,focus
1703119423.46417,44,57,focus
1703119424.47851,53,56,focus
1703119425.488039,60,61,focus
1703119426.4926846,75,56,focus
1703119427.4990437,69,50,focus
1703119428.507993,54,44,focus
1703119429.5173042,64,51,focus
1703119430.5320141,48,60,focus
1703119431.5448816,47,54,focus
1703119432.5502288,61,63,focus
1703119433.5582654,67,66,focus
1703119434.5620546,67,66,focus
1703119435.573646,67,66,focus
1703119436.58639,67,66,focus
1703119437.6022007,67,66,focus
1703119438.610065,75,61,focus
1703119439.6173167,70,60,focus
1703119440.625224,66,54,focus
1703119441.6342733,66,54,focus
1703119442.6454027,66,54,relax
1703119443.6519022,66,54,relax
1703119444.664473,66,54,relax
1703119445.6735554,63,63,relax
1703119446.688619,64,56,relax
1703119447.699398,53,48,relax
1703119448.708411,44,51,relax
1703119449.711127,41,51,relax
1703119450.711211,47,51,relax
1703119451.7193375,56,56,relax
1703119452.7273223,43,53,relax
1703119453.7432559,26,37,relax
1703119454.7454083,8,47,relax
1703119455.757615,17,51,relax
1703119456.7619379,17,51,relax
1703119457.7699895,17,51,relax
1703119458.7751784,17,51,relax
1703119459.7827625,17,51,relax
1703119460.7945383,43,41,relax
1703119461.7958362,54,41,relax
1703119462.7998862,64,44,relax
1703119463.8107593,60,35,relax
1703119464.8216722,60,35,relax
1703119465.8357778,60,35,relax
1703119466.846585,60,35,relax
1703119467.8476214,53,61,relax
1703119468.8557062,53,61,relax
1703119469.8694687,50,64,relax
1703119470.8821945,64,81,relax
1703119471.894576,64,61,relax
1703119472.90052,77,61,focus
1703119473.9145997,67,44,focus
1703119474.919012,64,38,focus
1703119475.934472,75,48,focus
1703119476.9496114,77,56,focus
1703119477.9588218,100,60,focus
1703119478.9680762,93,66,focus
1703119479.9717684,80,61,focus
1703119480.97757,63,54,focus
1703119481.9911783,34,47,focus
1703119482.9947677,44,48,focus
1703119484.0060565,44,48,focus
1703119485.0103931,44,48,focus
1703119486.0238476,44,48,focus
1703119487.038756,44,48,focus
1703119488.0441997,44,48,focus
1703119489.0475254,44,48,focus
1703119490.0610707,50,43,focus
1703119491.0674984,69,48,focus
1703119492.0691717,90,64,focus
1703119493.0727513,90,60,relax
1703119494.0779772,84,74,relax
1703119495.0866752,78,78,relax
1703119496.0947897,78,84,relax
1703119497.1014085,67,90,relax
1703119498.1112573,63,83,relax
1703119499.1263664,63,83,relax
1703119500.1287477,63,83,relax
1703119501.1365216,63,83,relax
1703119502.145343,63,83,relax
1703119503.1584868,63,83,relax
1703119504.1685033,63,83,relax
1703119505.1713989,64,78,relax
1703119506.1864421,40,48,relax
1703119507.1904776,40,48,relax
1703119508.2054157,40,48,relax
1703119509.2054288,26,38,relax
1703119510.208709,30,38,relax
1703119511.2136834,30,34,relax
1703119512.2290869,38,53,relax
1703119513.2349417,40,64,relax
1703119514.2499304,35,61,relax
1703119515.2535176,29,61,relax
1703119516.267594,37,66,relax
1703119517.2815814,44,64,relax
1703119518.291582,44,64,relax
1703119519.2975368,44,64,relax
1703119520.3081546,44,64,relax
1703119521.3170273,53,53,relax
1703119522.333131,57,61,relax
1703119523.3359592,61,54,focus
1703119524.3507676,48,44,focus
1703119525.364469,48,44,focus
1703119526.378463,48,44,focus
1703119527.390808,40,66,focus
1703119528.405671,40,61,focus
1703119529.4079816,44,60,focus
1703119530.4207144,44,60,focus
1703119531.433355,44,60,focus
1703119532.44309,44,60,focus
1703119533.4521468,44,60,focus
1703119534.4601407,44,60,focus
1703119535.4658613,44,60,focus
1703119536.4819598,44,60,focus
1703119537.4838264,44,60,focus
1703119538.486793,44,60,focus
1703119539.487977,64,74,focus
1703119540.4899487,64,74,focus
1703119541.4940066,64,74,focus
1703119542.4998627,64,61,relax
1703119543.511963,64,61,relax
1703119544.514168,64,61,relax
1703119545.5299578,61,61,relax
1703119546.545696,64,64,relax
1703119547.5481606,57,67,relax
1703119548.5483875,61,60,relax
1703119549.5492694,51,64,relax
1703119550.55031,40,63,relax
1703119551.5635545,41,43,relax
1703119552.564963,44,54,relax
1703119553.5808716,60,53,relax
1703119554.596219,69,44,relax
1703119555.5997317,66,53,relax
1703119556.6151104,63,63,relax
1703119557.6174355,54,50,relax
1703119558.6196265,41,51,relax
1703119559.633906,24,50,relax
1703119560.6364107,23,48,relax
1703119561.6504467,29,63,relax
1703119562.6517115,21,69,relax
1703119563.6528,41,74,relax
1703119564.6537654,43,56,relax
1703119565.655439,35,50,relax
1703119566.6699226,40,48,relax
1703119567.6715827,50,51,relax
1703119568.6728039,43,40,relax
1703119569.6831977,51,54,relax
1703119570.6902466,57,70,relax
1703119571.6992238,61,61,relax
1703119572.709214,77,74,focus
1703119573.7240179,67,64,focus
1703119574.7258496,66,43,focus
1703119575.7413423,56,56,focus
1703119576.7428057,51,61,focus
1703119577.7432208,54,70,focus
1703119578.746576,74,64,focus
1703119579.7584016,66,67,focus
1703119580.7743213,63,53,focus
1703119581.7763252,63,53,focus
1703119582.7872891,57,50,focus
1703119583.797368,44,64,focus
1703119584.8000896,44,64,focus
1703119585.811423,44,64,focus
1703119586.8130176,44,64,focus
1703119587.8224132,44,64,focus
1703119588.8265035,44,64,focus
1703119589.8324857,44,64,focus
1703119590.8484392,44,64,focus
1703119591.854453,44,64,focus
1703119592.8609483,44,64,relax
1703119593.869515,44,64,relax
1703119594.881283,60,53,relax
1703119595.8906271,60,53,relax
1703119596.9006538,60,53,relax
1703119597.9049869,63,60,relax
1703119598.9074674,61,43,relax
1703119599.9184053,60,43,relax
1703119600.9311047,40,41,relax
1703119601.9385948,43,51,relax
1703119602.948582,50,53,relax
1703119603.9618397,44,38,relax
1703119604.9648151,44,38,relax
1703119605.970677,44,38,relax
1703119606.972718,56,48,relax
1703119607.9840584,54,37,relax
1703119608.9916708,50,37,relax
1703119609.9984694,53,43,relax
1703119611.005266,47,30,relax
1703119612.0123458,61,43,relax
