current_time,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma,state
1703120298.5949275,26,47,521793,73858,7782,13048,14122,21142,4351,2135,relax
1703120299.6377604,26,47,694947,29968,24026,16803,3800,10797,7619,1698,relax
1703120300.6440544,21,51,567102,171311,40108,126062,14854,13743,11195,19480,relax
1703120301.6487432,21,51,1319648,58849,18990,8543,4408,2510,994,612,relax
1703120302.6652975,21,51,139,13,23,18,35,28,12,10,relax
1703120303.6746032,21,48,531752,108187,32112,40484,61113,16536,6476,10621,relax
1703120304.680856,37,53,407808,79198,43467,30759,16852,27728,21733,9763,relax
1703120305.6850939,35,48,1320303,227051,39961,46322,20791,24047,28545,8959,relax
1703120306.6899137,43,51,1846924,89521,88227,81769,17286,18040,24794,10903,relax
1703120307.7001488,40,54,799350,182502,32480,93476,36251,24666,21876,8153,relax
1703120308.7125196,23,35,613519,708949,15421,35671,45047,43725,16408,13666,relax
1703120309.7278051,23,43,2726559,447476,209360,377650,194019,69777,51364,39431,relax
1703120310.728981,23,43,2533087,1248634,102759,27151,47509,68502,58120,21244,relax
1703120311.7310636,26,44,605873,49776,173374,40197,86222,24801,40397,8658,relax
1703120312.737365,27,41,130860,232524,35157,78840,11182,30216,11187,4843,relax
1703120313.7519026,27,41,913386,175575,51002,58009,8872,5857,3039,5125,relax
1703120314.7666295,27,41,13,7,1,0,0,2,0,0,relax
1703120315.772904,27,66,795770,176704,97753,179806,37942,25097,16746,16364,relax
1703120316.7808468,38,56,450541,155707,35414,25420,33241,28719,14297,11367,relax
1703120317.783022,47,41,664479,177567,25246,27244,12017,33259,15317,6630,relax
1703120318.789721,47,41,723179,185816,85112,44385,17098,22472,17111,12920,relax
1703120319.7969294,47,41,1501652,180947,8944,29638,14770,8768,3689,1835,relax
1703120320.8056293,56,37,1613519,527044,73644,104431,126062,118957,40143,36503,relax
1703120321.8114877,56,37,616231,18432,23100,17335,976,3733,9129,5137,relax
1703120322.8215313,56,37,22,17,0,2,1,1,0,0,relax
1703120323.8288853,56,37,242336,57135,24335,51004,18433,9991,7223,9712,relax
1703120324.845473,56,37,2072861,113698,104397,141176,58315,34388,32535,19030,relax
1703120325.8564239,56,37,1118414,84192,85040,159924,50769,52405,29646,6679,relax
1703120326.8668387,56,37,971611,64509,6706,136409,103326,44005,20728,8948,relax
1703120327.8730369,56,37,535299,41888,6285,11105,5411,26745,3762,1873,relax
1703120328.8767984,56,37,1979175,270538,75017,198458,62634,66859,19155,23654,relax
1703120329.8780887,56,37,56899,29243,2237,16038,7482,1709,1139,1140,relax
1703120330.889482,53,34,952956,1710771,329126,1008566,92427,140932,98322,32869,relax
1703120331.9023523,35,44,1650226,407824,250988,669827,417857,55240,90825,49703,relax
1703120332.9144938,35,44,143,108,20,14,18,8,4,3,relax
1703120333.928042,35,44,20465,15846,2893,7952,1793,4033,2696,915,relax
1703120334.9412787,14,44,2069759,1582614,244658,229270,293245,87651,97463,64622,relax
1703120335.956823,14,44,1516350,512883,77005,72380,135987,99658,19570,15775,relax
1703120336.9585195,16,60,626652,99656,174804,148453,89144,75884,35319,17649,relax
1703120337.9720473,29,50,1787533,306379,12162,83859,20098,46972,45652,10216,relax
1703120338.9766316,47,47,1569534,366415,96225,417433,182992,114070,80578,44276,relax
1703120339.9795487,47,47,1498366,132956,21704,3556,11378,13095,4575,2560,relax
1703120340.9904728,66,60,1159724,109746,27253,166117,15097,49039,27914,21923,relax
